"user_input","items_json"
"Toss in 14 razors in there, throw in 20 pies, load up with 19 coffees, and also nix a pair of bananas","[{""action"": ""add"", ""product"": ""razors"", ""quantity"": 14}, {""action"": ""add"", ""product"": ""pies"", ""quantity"": 20}, {""action"": ""add"", ""product"": ""coffees"", ""quantity"": 19}, {""action"": ""remove"", ""product"": ""bananas"", ""quantity"": 2}]"
"Okay add 13 toothpastes, drop three quinoa bags and put in a pair of bacon packs","[{""action"": ""add"", ""product"": ""toothpastes"", ""quantity"": 13}, {""action"": ""remove"", ""product"": ""quinoa bags"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""bacon packs"", ""quantity"": 2}]"
"Alright throw on six cucumbers, then tack on nine bagels, plus take off two cakes","[{""action"": ""add"", ""product"": ""cucumbers"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""bagels"", ""quantity"": 9}, {""action"": ""remove"", ""product"": ""cakes"", ""quantity"": 2}]"
"Yo leave out 21 of those ice creams, get rid of eighteen sour creams, chuck in half a dozen water bottles","[{""action"": ""remove"", ""product"": ""ice creams"", ""quantity"": 21}, {""action"": ""remove"", ""product"": ""sour creams"", ""quantity"": 18}, {""action"": ""add"", ""product"": ""water bottles"", ""quantity"": 6}]"
"Alright leave out 20 avocados, put in a couple lotions, drop in two dozen toothpastes and get rid of 1 kombuchas","[{""action"": ""remove"", ""product"": ""avocados"", ""quantity"": 20}, {""action"": ""add"", ""product"": ""lotions"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""toothpastes"", ""quantity"": 24}, {""action"": ""remove"", ""product"": ""kombuchas"", ""quantity"": 1}]"
"Yo lose a dozen soaps, stick in a few potatoes in there, then take away a couple wraps","[{""action"": ""remove"", ""product"": ""soaps"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""wraps"", ""quantity"": 2}]"
"Knock off two dozen toothbrushes, chuck in two dozen olive jars, stick in eight napkins in there","[{""action"": ""remove"", ""product"": ""toothbrushes"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""olive jars"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""napkins"", ""quantity"": 8}]"
"Yo take out a few tomatoes, throw on seven pork chops","[{""action"": ""remove"", ""product"": ""tomatoes"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""pork chops"", ""quantity"": 7}]"
"Ditch two of them teas, stick in a couple clams, get me fourteen toothpastes and include a couple sour creams","[{""action"": ""remove"", ""product"": ""teas"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""clams"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""toothpastes"", ""quantity"": 14}, {""action"": ""add"", ""product"": ""sour creams"", ""quantity"": 2}]"
"Scrub 1 of the kiwis, pack in eighteen sausages, ring up 2 ham slices, pack in 19 shrimp, plus add 17 soaps","[{""action"": ""remove"", ""product"": ""kiwis"", ""quantity"": 1}, {""action"": ""add"", ""product"": ""sausages"", ""quantity"": 18}, {""action"": ""add"", ""product"": ""ham slices"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""shrimp"", ""quantity"": 19}, {""action"": ""add"", ""product"": ""soaps"", ""quantity"": 17}]"
"Yo drop in a pair of shrimp, then pile on 21 salsas, then ditch 20 of those cucumbers, then add 12 crackers","[{""action"": ""add"", ""product"": ""shrimp"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""salsas"", ""quantity"": 21}, {""action"": ""remove"", ""product"": ""cucumbers"", ""quantity"": 20}, {""action"": ""add"", ""product"": ""crackers"", ""quantity"": 12}]"
"Yo scrap a couple of those turkey slices, knock off 10 lotions, then stock up on nine cookies, then get rid of 14 of the pears thanks","[{""action"": ""remove"", ""product"": ""turkey slices"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""lotions"", ""quantity"": 10}, {""action"": ""add"", ""product"": ""cookies"", ""quantity"": 9}, {""action"": ""remove"", ""product"": ""pears"", ""quantity"": 14}]"
"Hey throw on a dozen watermelons, drop 12 zucchinis, kick out four brownies, then grab me two dozen beers","[{""action"": ""add"", ""product"": ""watermelons"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""zucchinis"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""brownies"", ""quantity"": 4}, {""action"": ""add"", ""product"": ""beers"", ""quantity"": 24}]"
"Okay ditch 23 sour creams, knock off a pair of watermelons, plus stick in 8 popcorn bags in there","[{""action"": ""remove"", ""product"": ""sour creams"", ""quantity"": 23}, {""action"": ""remove"", ""product"": ""watermelons"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""popcorn bags"", ""quantity"": 8}]"
"Ditch 1 toothpastes, toss in 9 chicken thighs, then slap on 11 kombuchas, then give me 19 biscuits and knock off eighteen apples","[{""action"": ""remove"", ""product"": ""toothpastes"", ""quantity"": 1}, {""action"": ""add"", ""product"": ""chicken thighs"", ""quantity"": 9}, {""action"": ""add"", ""product"": ""kombuchas"", ""quantity"": 11}, {""action"": ""add"", ""product"": ""biscuits"", ""quantity"": 19}, {""action"": ""remove"", ""product"": ""apples"", ""quantity"": 18}]"
"Okay pull out thirteen muffins, pile on one salami packs, lose a dozen sparkling waters, and also pack in seventeen smoothies","[{""action"": ""remove"", ""product"": ""muffins"", ""quantity"": 13}, {""action"": ""add"", ""product"": ""salami packs"", ""quantity"": 1}, {""action"": ""remove"", ""product"": ""sparkling waters"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""smoothies"", ""quantity"": 17}]"
"Hey take out a dozen creams, scrub 23 salads, then put in one radishes, stock up on 23 cakes, include 4 tacos cheers","[{""action"": ""remove"", ""product"": ""creams"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""salads"", ""quantity"": 23}, {""action"": ""add"", ""product"": ""radishes"", ""quantity"": 1}, {""action"": ""add"", ""product"": ""cakes"", ""quantity"": 23}, {""action"": ""add"", ""product"": ""tacos"", ""quantity"": 4}]"
"Okay get rid of eight tissue boxes, drop in 11 sausages, bring me 8 spinach bunches, drop in 14 cupcakes, and bring me 14 energy drinks","[{""action"": ""remove"", ""product"": ""tissue boxes"", ""quantity"": 8}, {""action"": ""add"", ""product"": ""sausages"", ""quantity"": 11}, {""action"": ""add"", ""product"": ""spinach bunches"", ""quantity"": 8}, {""action"": ""add"", ""product"": ""cupcakes"", ""quantity"": 14}, {""action"": ""add"", ""product"": ""energy drinks"", ""quantity"": 14}]"
"Take away a pair of of the razors, scrub 11 protein bars, throw on a dozen almonds in there, then take out one hummus tubs","[{""action"": ""remove"", ""product"": ""razors"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""protein bars"", ""quantity"": 11}, {""action"": ""add"", ""product"": ""almonds"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""hummus tubs"", ""quantity"": 1}]"
"Load up with 14 honeys, toss in 18 walnuts, then drop 3 prawns","[{""action"": ""add"", ""product"": ""honeys"", ""quantity"": 14}, {""action"": ""add"", ""product"": ""walnuts"", ""quantity"": 18}, {""action"": ""remove"", ""product"": ""prawns"", ""quantity"": 3}]"
"Get me twelve almonds, pile on a pair of sweet potatoes, and scrub a dozen strawberries","[{""action"": ""add"", ""product"": ""almonds"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""sweet potatoes"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""strawberries"", ""quantity"": 12}]"
"Alright throw on a few pizzas, lose 21 of the oatmeal boxes, leave out 12 candy bars, plus get rid of 17 kombuchas please","[{""action"": ""add"", ""product"": ""pizzas"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""oatmeal boxes"", ""quantity"": 21}, {""action"": ""remove"", ""product"": ""candy bars"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""kombuchas"", ""quantity"": 17}]"
"Okay lose 16 of those honeys, load up with a few pasta boxes, knock off seventeen of them ground beef packs, then pack in eight beers and add one candy bars cheers","[{""action"": ""remove"", ""product"": ""honeys"", ""quantity"": 16}, {""action"": ""add"", ""product"": ""pasta boxes"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""ground beef packs"", ""quantity"": 17}, {""action"": ""add"", ""product"": ""beers"", ""quantity"": 8}, {""action"": ""add"", ""product"": ""candy bars"", ""quantity"": 1}]"
"Stick in 9 pretzels, then pull 24 muffins, pack in 24 pitas, and also give me four trash bags","[{""action"": ""add"", ""product"": ""pretzels"", ""quantity"": 9}, {""action"": ""remove"", ""product"": ""muffins"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""pitas"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""trash bags"", ""quantity"": 4}]"
"Ditch sixteen zucchinis, include 16 sandwiches, plus ditch 16 pears","[{""action"": ""remove"", ""product"": ""zucchinis"", ""quantity"": 16}, {""action"": ""add"", ""product"": ""sandwiches"", ""quantity"": 16}, {""action"": ""remove"", ""product"": ""pears"", ""quantity"": 16}]"
"Nix 25 sour creams, leave out half a dozen eggs, pile on half a dozen turkey slices","[{""action"": ""remove"", ""product"": ""sour creams"", ""quantity"": 25}, {""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""turkey slices"", ""quantity"": 6}]"
"Pile on sixteen chips in there, then add fifteen sausages, ring up two dozen wings, and take off eighteen donuts","[{""action"": ""add"", ""product"": ""chips"", ""quantity"": 16}, {""action"": ""add"", ""product"": ""sausages"", ""quantity"": 15}, {""action"": ""add"", ""product"": ""wings"", ""quantity"": 24}, {""action"": ""remove"", ""product"": ""donuts"", ""quantity"": 18}]"
